spp,approx,error
176,0.11363636363636365,0.01202734250722809
177,0.13559322033898305,0.009929514195391315
178,0.0,0.12566370614359174
179,0.1564245810055866,0.030760874861994858
180,0.24444444444444446,0.11878073830085273
181,0.11049723756906077,0.015166468574530967
182,0.02197802197802198,0.10368568416556975
183,0.1092896174863388,0.01637408865725294
184,0.13043478260869565,0.004771076465103913
185,0.15135135135135136,0.025687645207759624
186,0.15053763440860218,0.024873928265010448
187,0.2780748663101604,0.15241116016656864
188,0.23404255319148937,0.10837884704789763
189,0.14814814814814814,0.022484442004556404
190,0.08421052631578947,0.041453179827802264
191,0.1256544502617801,9.255881811637279e-06
192,0.0625,0.06316370614359174
193,0.16580310880829016,0.040139402664698426
194,0.10309278350515463,0.022570922638437102
195,0.12307692307692307,0.002586783066668666
196,0.2040816326530612,0.07841792650946947
197,0.10152284263959391,0.024140863503997828
198,0.14141414141414144,0.0157504352705497
199,0.1407035175879397,0.015039811444347961
200,0.14,0.014336293856408278
201,0.13930348258706465,0.013639776443472917
202,0.11881188118811882,0.0068518249554729155
203,0.21674876847290642,0.09108506232931468
204,0.1568627450980392,0.031199038954447478
205,0.07804878048780488,0.04761492565578686
206,0.09708737864077668,0.028576327502815052
207,0.1932367149758454,0.06757300883225367
208,0.17307692307692307,0.04741321693333134
209,0.07655502392344497,0.04910868222014676
210,0.17142857142857143,0.045764865284979694
211,0.07582938388625593,0.049834322257335806
212,0.09433962264150943,0.03132408350208231
213,0.03755868544600939,0.08810502069758235
214,0.11214953271028037,0.013514173433311363
215,0.11162790697674418,0.014035799166847551
216,0.18518518518518517,0.05952147904159344
217,0.09216589861751152,0.03349780752608021
218,0.12844036697247707,0.0027766608288853356
219,0.1461187214611872,0.02045501531759547
220,0.07272727272727272,0.05293643341631901
221,0.10859728506787332,0.017066421075718416
222,0.1081081081081081,0.017555598035483636
223,0.16143497757847533,0.035771271434883595
224,0.14285714285714282,0.017193436713551086
225,0.10666666666666667,0.018997039476925062
226,0.10619469026548672,0.01946901587810501
227,0.10572687224669604,0.019936833896895698
228,0.10526315789473684,0.0204005482488549
229,0.08733624454148471,0.038327461602107024
230,0.06956521739130435,0.05609848875228739
231,0.15584415584415584,0.030180449700564105
232,0.05172413793103448,0.07393956821255726
233,0.1716738197424893,0.04601011359889756
234,0.11965811965811965,0.006005586485472086
235,0.0851063829787234,0.040557323164868334
236,0.11864406779661016,0.007019638346981577
237,0.15189873417721517,0.02623502803362343
238,0.06722689075630252,0.05843681538728922
239,0.15062761506276148,0.024963908919169747
240,0.21666666666666665,0.09100296052307491
241,0.13278008298755187,0.007116376843960132
242,0.11570247933884298,0.009961226804748757
243,0.06584362139917696,0.059820084744414775
244,0.11475409836065575,0.010909607782935982
245,0.1306122448979592,0.00494853875436746
246,0.14634146341463417,0.02067775727104243
247,0.09716599190283401,0.028497714240757727
248,0.08064516129032258,0.04501854485326916
249,0.0963855421686747,0.029278163974917032
250,0.064,0.061663706143591734
251,0.0796812749003984,0.04598243124319333
252,0.15873015873015872,0.033066452586566986
253,0.12648221343873514,0.0008185072951434058
254,0.09448818897637795,0.031175517167213784
255,0.10980392156862745,0.015859784574964286
256,0.171875,0.046211293856408264
257,0.1245136186770428,0.0011500874665489325
258,0.17054263565891473,0.04487892951532299
259,0.1081081081081081,0.017555598035483636
260,0.13846153846153847,0.012797832317946733
261,0.12260536398467434,0.0030583421589173987
262,0.183206106870229,0.05754240072663727
263,0.1977186311787072,0.07205492503511546
264,0.22727272727272718,0.10160902112913545
265,0.12075471698113206,0.004908989162459673
266,0.09022556390977443,0.035438142233817305
267,0.149812734082397,0.024149027938805273
268,0.16417910447761191,0.03851539833402018
269,0.10408921933085499,0.021574486812736743
270,0.08888888888888888,0.03677481725470286
271,0.10332103321033209,0.022342672933259644
272,0.17647058823529413,0.05080688209170239
273,0.13186813186813187,0.006204425724540136
274,0.18978102189781024,0.0641173157542185
275,0.20363636363636367,0.07797265749277194
276,0.07246376811594203,0.053199938027649704
277,0.1877256317689531,0.062061925625361364
278,0.07194244604316546,0.05372126010042627
279,0.12903225806451613,0.0033685519209243897
280,0.07142857142857142,0.05423513471502031
281,0.11387900355871884,0.011784702584872894
282,0.11347517730496451,0.012188528838627227
283,0.16961130742049468,0.04394760127690295
284,0.028169014084507043,0.09749469205908469
285,0.14035087719298245,0.014687171049390713
286,0.11188811188811189,0.013775594255479848
287,0.13937282229965156,0.013709116156059825
288,0.06944444444444445,0.05621926169914729
289,0.11072664359861593,0.014937062544975802
290,0.08275862068965517,0.042905085453936564
291,0.06872852233676977,0.05693518380682197
292,0.1095890410958904,0.01607466504770133
293,0.17747440273037543,0.051810696586783694
294,0.1496598639455782,0.023996157801986467
295,0.2033898305084746,0.07772612436488285
296,0.10810810810810811,0.01755559803548362
